"Area_Name","Year","Cases"
"Andaman & Nicobar Islands",2001,3
"Andhra Pradesh",2001,871
"Arunachal Pradesh",2001,33
"Assam",2001,817
"Bihar",2001,888
"Chandigarh",2001,18
"Chhattisgarh",2001,959
"Dadra & Nagar Haveli",2001,6
"Daman & Diu",2001,0
"Delhi",2001,381
"Goa",2001,12
"Gujarat",2001,286
"Haryana",2001,398
"Himachal Pradesh",2001,124
"Jammu & Kashmir",2001,169
"Jharkhand",2001,567
"Karnataka",2001,293
"Kerala",2001,562
"Lakshadweep",2001,0
"Madhya Pradesh",2001,2851
"Maharashtra",2001,1302
"Manipur",2001,20
"Meghalaya",2001,26
"Mizoram",2001,52
"Nagaland",2001,17
"Odisha",2001,790
"Puducherry",2001,9
"Punjab",2001,298
"Rajasthan",2001,1049
"Sikkim",2001,8
"Tamil Nadu",2001,423
"Telangana",2001,709
"Tripura",2001,0
"Uttar Pradesh",2001,102
"Uttarakhand",2001,1958
"West Bengal",2001,74
"Andaman & Nicobar Islands",2002,2
"Andhra Pradesh",2002,1002
"Arunachal Pradesh",2002,38
"Assam",2002,970
"Bihar",2002,1040
"Chandigarh",2002,18
"Chhattisgarh",2002,992
"Dadra & Nagar Haveli",2002,4
"Daman & Diu",2002,0
"Delhi",2002,403
"Goa",2002,12
"Gujarat",2002,267
"Haryana",2002,361
"Himachal Pradesh",2002,137
"Jammu & Kashmir",2002,192
"Jharkhand",2002,797
"Karnataka",2002,292
"Kerala",2002,499
"Lakshadweep",2002,1
"Madhya Pradesh",2002,2891
"Maharashtra",2002,1352
"Manipur",2002,14
"Meghalaya",2002,38
"Mizoram",2002,76
"Nagaland",2002,17
"Odisha",2002,691
"Puducherry",2002,6
"Punjab",2002,299
"Rajasthan",2002,1051
"Sikkim",2002,6
"Tamil Nadu",2002,534
"Telangana",2002,759
"Tripura",2002,0
"Uttar Pradesh",2002,108
"Uttarakhand",2002,1415
"West Bengal",2002,89
"Andaman & Nicobar Islands",2003,2
"Andhra Pradesh",2003,946
"Arunachal Pradesh",2003,31
"Assam",2003,1095
"Bihar",2003,985
"Chandigarh",2003,18
"Chhattisgarh",2003,898
"Dadra & Nagar Haveli",2003,1
"Daman & Diu",2003,5
"Delhi",2003,490
"Goa",2003,31
"Gujarat",2003,236
"Haryana",2003,353
"Himachal Pradesh",2003,126
"Jammu & Kashmir",2003,211
"Jharkhand",2003,712
"Karnataka",2003,321
"Kerala",2003,394
"Lakshadweep",2003,2
"Madhya Pradesh",2003,2738
"Maharashtra",2003,1268
"Manipur",2003,18
"Meghalaya",2003,40
"Mizoram",2003,54
"Nagaland",2003,14
"Odisha",2003,725
"Puducherry",2003,2
"Punjab",2003,380
"Rajasthan",2003,1050
"Sikkim",2003,10
"Tamil Nadu",2003,557
"Telangana",2003,1002
"Tripura",2003,0
"Uttar Pradesh",2003,114
"Uttarakhand",2003,911
"West Bengal",2003,107
"Andaman & Nicobar Islands",2004,10
"Andhra Pradesh",2004,1016
"Arunachal Pradesh",2004,42
"Assam",2004,1171
"Bihar",2004,1390
"Chandigarh",2004,19
"Chhattisgarh",2004,969
"Dadra & Nagar Haveli",2004,7
"Daman & Diu",2004,1
"Delhi",2004,551
"Goa",2004,37
"Gujarat",2004,339
"Haryana",2004,386
"Himachal Pradesh",2004,153
"Jammu & Kashmir",2004,218
"Jharkhand",2004,797
"Karnataka",2004,291
"Kerala",2004,480
"Lakshadweep",2004,0
"Madhya Pradesh",2004,2875
"Maharashtra",2004,1388
"Manipur",2004,31
"Meghalaya",2004,54
"Mizoram",2004,20
"Nagaland",2004,18
"Odisha",2004,770
"Puducherry",2004,4
"Punjab",2004,390
"Rajasthan",2004,1038
"Sikkim",2004,3
"Tamil Nadu",2004,618
"Telangana",2004,1475
"Tripura",2004,0
"Uttar Pradesh",2004,160
"Uttarakhand",2004,1397
"West Bengal",2004,115
"Andaman & Nicobar Islands",2005,4
